Problem,Sampler,Radius,Time,NumSteps,Q,X0,X1
MinLeviFunctionNum13,PopulationSampler,15,0.072464,1000,0.2975848078539363,1.3698720286046209,0.9363179033317528
MinLeviFunctionNum13,PopulationSampler,15,0.072716,1000,0.1861846014141699,1.0461811887669992,0.9064571873006544
MinLeviFunctionNum13,PopulationSampler,15,0.071246,1000,0.15550997292406132,0.6697788439626637,0.9290461821035609
MinLeviFunctionNum13,PopulationSampler,15,0.072066,1000,0.08900868598794993,0.9961970843366688,0.6821106960522973
MinLeviFunctionNum13,PopulationSampler,15,0.072546,1000,0.059684556835604904,0.9948699724718848,1.294859114026025
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.073568,1000,0.112637948097259,0.6653490837102282,1.0067121702504593
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.073836,1000,0.29289287190192703,1.309542185490014,0.6462657279265409
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.079178,1000,0.02282949348571329,1.0140122582516637,0.9022649873143094
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.075787,1000,0.17572492915537985,0.6702489294386454,1.0898342087734156
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.074052,1000,0.3048641633637671,0.9743685849420883,1.5061259030050902
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.073725,1000,0.11504111509119917,0.9643014038673555,1.196620537335627
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.074555,1000,0.004126764645191193,1.0000514947991106,0.8420175518295161
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.073988,1000,0.048294682008312,1.000778460021003,0.7132140658037218
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.072668,1000,0.33175747673323686,0.6406457343859171,0.6487634635495692
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.072645,1000,0.18154908779600704,0.6670783704587353,0.7430050948023563
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.07382,1000,0.3733567933802772,1.0628915719815248,0.7055651836399718
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.073927,1000,0.6613510269959153,1.098860983656146,0.9298707552174688
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.073738,1000,0.0067422155539500605,1.0048800115334315,1.0851504594886483
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.0745,1000,0.11134346976036014,1.0348994334629165,1.0945240914331333
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.073278,1000,0.21037608662880214,1.3152109738402515,0.6891896012121492
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.074946,1000,0.06926447170700036,0.9985381972538907,1.3043420298739576
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.074355,1000,0.12257919501269995,0.9632702296355748,1.099535248693998
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.074015,1000,0.032727929129495084,0.9954916573334106,0.7316403269975842
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.074322,1000,0.2000893047415283,0.6833910275633084,1.2352934963174387
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.074729,1000,0.17652902847743074,1.329533316308352,1.281208118902644
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.07589,1000,0.0668785806885707,0.9748333272734806,0.7667246748031828
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.074747,1000,0.20376503546499117,1.0483990650085335,1.1188328847399904
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.074786,1000,0.12797687061712798,0.6562118216845263,0.9969224149980238
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.074984,1000,0.18490447820073597,0.9540330611656584,0.8494036632571559
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.075626,1000,0.22705138540680686,1.0069143072139006,0.41249716954779325
