Problem,Sampler,Radius,Time,NumSteps,Q,X,Y
MinLeviFunctionNum13,PopulationSampler,15,0.082328,1000,0.1391244037503473,1.020668163744201,0.6730348845814422
MinLeviFunctionNum13,PopulationSampler,15,0.077454,1000,0.2790307773038476,0.9845718866126743,1.4482005872667438
MinLeviFunctionNum13,PopulationSampler,15,0.07783,1000,0.2606118779266588,0.9443138081307643,0.8230358494666559
MinLeviFunctionNum13,PopulationSampler,15,0.078688,1000,0.08098592861223206,1.0206257204413978,1.281874898159384
MinLeviFunctionNum13,PopulationSampler,15,0.077581,1000,0.11319586522052887,0.6710783279271894,0.9823322215405849
MinLeviFunctionNum13,PopulationSampler,15,0.07816,1000,0.2324475979967939,0.6853793275800475,0.8390951035721179
MinLeviFunctionNum13,PopulationSampler,15,0.079421,1000,0.002348374123151347,1.0047032805906588,0.9807660378785852
MinLeviFunctionNum13,PopulationSampler,15,0.077834,1000,0.1284643323277418,0.9628110540482469,1.225692775026287
MinLeviFunctionNum13,PopulationSampler,15,0.076799,1000,0.2923107172296266,1.3609375893156797,1.2333868550962581
MinLeviFunctionNum13,PopulationSampler,15,0.077622,1000,0.41414990526628204,0.9576150015766669,1.4776841209507419
MinLeviFunctionNum13,PopulationSampler,15,0.079556,1000,0.21976126408858285,0.9940014427892312,0.44176852975959235
MinLeviFunctionNum13,PopulationSampler,15,0.077776,1000,0.21334266142691194,0.6617988026837668,0.783367567810063
MinLeviFunctionNum13,PopulationSampler,15,0.078029,1000,0.29564895322194934,1.022400608702863,1.4352817705249967
MinLeviFunctionNum13,PopulationSampler,15,0.077434,1000,0.20728009653906018,1.3252764715197174,0.8750103408522059
MinLeviFunctionNum13,PopulationSampler,15,0.077835,1000,0.541310382732783,0.6453299658414311,1.4682270739462826
MinLeviFunctionNum13,PopulationSampler,15,0.080199,1000,0.13118595434264907,0.9611507790494265,0.96214520273851
MinLeviFunctionNum13,PopulationSampler,15,0.079987,1000,0.19351617415333527,1.0451783664872036,0.7472545529926471
MinLeviFunctionNum13,PopulationSampler,15,0.078641,1000,0.514264756727857,0.920685527639904,0.7167805102411475
MinLeviFunctionNum13,PopulationSampler,15,0.081788,1000,0.23121252766881317,0.7082781704878802,0.9980746728768705
MinLeviFunctionNum13,PopulationSampler,15,0.080473,1000,0.22589887881155277,0.9487535785596009,1.213411708069893
MinLeviFunctionNum13,PopulationSampler,15,0.081202,1000,0.04652336019103226,1.0216035924450364,1.1457941303869683
MinLeviFunctionNum13,PopulationSampler,15,0.078068,1000,0.2538718911954481,1.2886289186580009,0.9800304102859538
MinLeviFunctionNum13,PopulationSampler,15,0.077731,1000,0.21305933894563514,1.3014713226994068,0.933451527944384
MinLeviFunctionNum13,PopulationSampler,15,0.077153,1000,0.298768419756506,1.0607652696654801,1.0336543766894137
MinLeviFunctionNum13,PopulationSampler,15,0.079703,1000,0.28904657290199204,1.2852835008235861,1.045992616580704
MinLeviFunctionNum13,PopulationSampler,15,0.077038,1000,0.12218098421704966,1.0178560304804876,0.6779585748446904
MinLeviFunctionNum13,PopulationSampler,15,0.078311,1000,0.20290895051333607,0.956422071475265,0.7201468470790817
MinLeviFunctionNum13,PopulationSampler,15,0.077125,1000,0.3001884676115488,1.060119297769128,1.120340626940213
MinLeviFunctionNum13,PopulationSampler,15,0.076811,1000,0.14014437384340764,1.0395267299573558,0.9033492479357208
MinLeviFunctionNum13,PopulationSampler,15,0.078001,1000,0.0438634490548356,1.0212141594998947,0.8042924226846087
MinLeviFunctionNum13,PopulationSampler,15,0.078925,1000,0.41627025246726757,0.9458516338578197,0.6277206948107803
MinLeviFunctionNum13,PopulationSampler,15,0.077888,1000,0.4239958072746949,0.9883622691648308,2.782983957888228
MinLeviFunctionNum13,PopulationSampler,15,0.078106,1000,0.3874521801632792,1.371191837148699,1.342973888390961
MinLeviFunctionNum13,PopulationSampler,15,0.079116,1000,0.40156019959282707,1.3820033699540828,1.070807124286884
MinLeviFunctionNum13,PopulationSampler,15,0.077513,1000,0.20808350152537736,1.3451285662838188,1.2522022394946088
MinLeviFunctionNum13,PopulationSampler,15,0.078852,1000,0.18705757335470838,1.3300139660133063,0.8993598851651283
MinLeviFunctionNum13,PopulationSampler,15,0.077277,1000,0.20890300837148262,1.3144059382419049,0.8901585367941538
MinLeviFunctionNum13,PopulationSampler,15,0.077261,1000,0.20141027712515064,1.331931836023692,0.7795557871615033
MinLeviFunctionNum13,PopulationSampler,15,0.07838,1000,0.12255863168124381,1.0075344263981414,1.337342585381201
MinLeviFunctionNum13,PopulationSampler,15,0.078938,1000,0.005803093555882759,1.005020958910107,1.1720050587277477
MinLeviFunctionNum13,PopulationSampler,15,0.076059,1000,0.11004056963195848,1.330950214065461,1.0008711497151617
MinLeviFunctionNum13,PopulationSampler,15,0.078277,1000,0.4767782763645968,1.3174241044117405,1.4938703296505356
MinLeviFunctionNum13,PopulationSampler,15,0.077721,1000,0.5175556581820063,0.6073160534469895,1.0834503453298105
MinLeviFunctionNum13,PopulationSampler,15,0.076434,1000,0.008805038281931292,0.9935380727778289,1.21085495624388
MinLeviFunctionNum13,PopulationSampler,15,0.080005,1000,0.16586669732257683,0.6813877788593299,0.9265408389631231
MinLeviFunctionNum13,PopulationSampler,15,0.078334,1000,0.33598881040178075,0.9629200262199199,0.42463831787784934
MinLeviFunctionNum13,PopulationSampler,15,0.077471,1000,0.2815583964039991,0.7055004446906006,0.7075879256738048
MinLeviFunctionNum13,PopulationSampler,15,0.077986,1000,0.2537167425639231,0.6550290139587065,1.1624899839922649
