Problem,Sampler,Radius,Time,NumSteps,Q,X0,X1,X2,X3,X4
MinOmniTest,PopulationSampler,15,0.13685,1000,-6.347503249415141,1.0114645745284279,5.2826474272371415,3.0666717422524696,3.3715963295101723,5.217867937739643
MinOmniTest,PopulationSampler,15,0.138049,1000,-6.409190494886207,5.2649430673384705,3.1801168176581487,1.067356880661806,5.423491086508792,3.419130056383004
MinOmniTest,PopulationSampler,15,0.127939,1000,-6.1888387212785805,1.4288760567872345,5.034852285467934,1.0203825517348948,5.260841270830401,1.2398300402414004
MinOmniTest,PopulationSampler,15,0.129045,1000,-6.848478321866441,3.1522433258932736,3.3181509866188046,1.291211330256334,1.3294384452101538,3.3494631395543015
MinOmniTest,PopulationSampler,15,0.127098,1000,-6.653217844981452,1.328591832281967,5.473012624337795,5.313677965380661,1.207351336515826,5.2617257809139275
MinOmniTest,PopulationSampler,15,0.12527,1000,-6.229653515024955,1.0107207465678862,3.1043609272632895,5.134499566142482,3.369170437831257,3.3847306993651483
MinOmniTest,PopulationSampler,15,0.126523,1000,-6.615070378302528,3.078270978215565,5.248744771377117,1.2736527513056648,5.22865673973459,5.058606103621275
MinOmniTest,PopulationSampler,15,0.128094,1000,-6.456297250067532,0.989360837648903,5.240745290218121,3.3742112184900943,3.3340733489427143,5.210953617461267
MinOmniTest,PopulationSampler,15,0.126492,1000,-6.549566458581262,3.3680200716216655,3.2149400663956755,1.1935253867603475,1.0120878499658503,5.199636518312499
MinOmniTest,PopulationSampler,15,0.124183,1000,-6.643696258302686,1.3745880245801276,5.357872501874106,5.110556228774725,5.162332926879108,3.1624616527057405
MinOmniTest,PopulationSampler,15,0.125762,1000,-6.658289459233686,3.1570551074815687,5.078188058804948,1.1387133657096218,1.1848190423095428,1.3227321556600766
MinOmniTest,PopulationSampler,15,0.126126,1000,-6.654161820861333,3.2116809146690337,3.044859011664524,1.2032048903511854,5.229710735636489,5.373359913802564
MinOmniTest,PopulationSampler,15,0.127885,1000,-6.721722772552094,3.243584248800833,5.062436871052725,1.3061656899642575,1.285467179084391,3.142533984913146
MinOmniTest,PopulationSampler,15,0.125454,1000,-6.544850716238191,1.2563920166387765,5.381581033819689,5.268599653434456,5.172991799098864,3.4833222329344555
MinOmniTest,PopulationSampler,15,0.126152,1000,-6.877638037182862,3.2987224824104966,3.269309838713657,5.095326799713943,5.211247145001216,5.245777758988919
MinOmniTest,PopulationSampler,15,0.126568,1000,-6.461952476542627,1.2967457464315504,3.3704209701634538,1.080824236973128,5.4493206022039296,5.183780340049156
MinOmniTest,PopulationSampler,15,0.128596,1000,-6.589014933140614,1.1803080406854138,5.165224037338321,3.232907626653535,3.015903832688081,1.1833662067847828
MinOmniTest,PopulationSampler,15,0.12563,1000,-6.538369697315249,5.45404621165661,3.387022813554704,3.1789810902000184,3.1500291587705807,5.30182090664541
MinOmniTest,PopulationSampler,15,0.12453,1000,-6.833393737443343,1.2348738513242254,5.365450802181613,3.133884416535859,1.2860053422918567,5.327750367045344
MinOmniTest,PopulationSampler,15,0.126454,1000,-6.516910933188223,3.000027110529131,5.195605064476989,3.3815806872828222,5.247720379746777,3.2562851992259505
MinOmniTest,PopulationSampler,15,0.126127,1000,-6.682424969806682,3.32874668245786,3.317426134191539,3.392270799960909,5.163754088752077,1.3839929458500242
MinOmniTest,PopulationSampler,15,0.1258,1000,-6.735494537013296,3.202648343035329,1.2879741095912143,5.435242436251884,5.151596900882335,5.288001320220095
MinOmniTest,PopulationSampler,15,0.127416,1000,-6.5060638434641875,5.363965633284645,5.242322634220061,5.256171000258121,1.3919026540813366,1.47416497974525
MinOmniTest,PopulationSampler,15,0.125953,1000,-6.468685792331681,1.2766131332186434,3.4482028244827374,3.2416464729125143,1.1221492440377816,5.429510427786383
MinOmniTest,PopulationSampler,15,0.12722,1000,-6.765721674867402,3.160317911482684,1.1828775852986027,5.313566669588087,1.0836068068332692,5.263608644846009
MinOmniTest,PopulationSampler,15,0.128672,1000,-6.315587038981822,3.2461609800314633,3.443773073216128,1.424791380014876,5.1881953545916275,5.051248167245466
MinOmniTest,PopulationSampler,15,0.126421,1000,-6.662059725716166,1.4228665543062209,3.3677012038923793,1.3528526119835727,1.28730695292759,5.187630631918603
MinOmniTest,PopulationSampler,15,0.127382,1000,-6.59067310828203,3.1767879257053697,3.3237039021262884,5.277927095238023,1.4840874536766986,3.179568630590279
MinOmniTest,PopulationSampler,15,0.130113,1000,-6.503721738888386,3.384827322233047,5.319865852353977,1.3908992332829357,1.1118575624579718,3.393366224754468
MinOmniTest,PopulationSampler,15,0.125938,1000,-6.579062754601582,1.4729944544327909,1.3841824345472507,5.30191000138921,1.2277742220300332,1.2069417105416318
MinOmniTest,PopulationSampler,15,0.128041,1000,-6.40114680967226,1.20476217298713,1.1243905099079858,1.3070676904646894,4.992307555072816,5.361340650040645
MinOmniTest,PopulationSampler,15,0.128984,1000,-6.72431945890162,5.296946400636159,5.076088380219344,5.1591398779843995,1.1647574643840328,3.1993246265048327
MinOmniTest,PopulationSampler,15,0.126922,1000,-6.605316926533985,1.1641813029267976,5.230315196760322,3.0627590070616098,3.133146978237023,3.357599476287793
MinOmniTest,PopulationSampler,15,0.125527,1000,-6.176875450713416,5.4477684810658165,5.344365986864882,1.0425845768571689,5.43917712086794,3.1780748180153386
MinOmniTest,PopulationSampler,15,0.127231,1000,-6.235736515546948,3.3137071600974837,5.135988456017724,2.9640590601023464,1.3566077955489333,3.1262590033192357
